Rk,School,G,W,L,W-L%,SRS,SOS,Conf W,Conf L,Home W,Home L,Away W,Away L,Tm Points,Opp Points,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
11,Arizona NCAA,36,27,9,0.75,24.54,9.45,15,5,15,1,7,4,87.1,72.1,40.7,31.2,64.5,0.484,7.89,21.6,0.366,16.8,23.4,0.717,13.1,42.6,18.5,8.33,3.69,11.9,16.4
12,Arizona State,32,14,18,0.438,4.58,9.55,8,12,10,5,3,8,69,74,40.2,24.7,59.4,0.416,6.72,22.4,0.3,12.9,19.7,0.655,8.41,33.3,12,8.22,3.66,10.5,16.6
13,Arkansas,33,16,17,0.485,6.12,8.15,6,12,12,6,2,7,77.8,79.8,40.6,26,57.5,0.453,6.03,18.9,0.318,19.7,26,0.756,8.52,34.5,11.7,6,6.09,12,19.8
14,Arkansas State,37,20,17,0.541,0.28,-1.53,11,7,10,3,5,11,78.8,77,40.1,27.6,62.5,0.441,9.22,26.8,0.344,14.4,20.6,0.702,13.2,38.4,14.5,5.59,4.41,11.2,17.4
15,Arkansas-Pine Bluff,31,13,18,0.419,-15.56,-7.6,8,10,8,6,5,12,80.1,81.8,40,26.2,58.7,0.446,10.9,29,0.375,16.8,22,0.762,8.42,34.6,15.1,5.9,2.16,13.3,18.3
16,Army,32,10,22,0.313,-14.67,-8.93,6,12,6,11,4,11,60.3,64.3,40.5,22.1,54.6,0.405,7.88,24.6,0.32,8.25,14,0.588,9.63,34,12.5,5.75,3.94,12.2,15.8
17,Auburn NCAA,35,27,8,0.771,22.46,7.66,13,5,15,1,5,5,83.1,68.3,40,28.9,60.6,0.476,8,22.7,0.352,17.4,23.2,0.75,11.2,37.8,17.8,7.37,6.14,10.7,19.4
18,Austin Peay,35,19,16,0.543,-6.13,-4.85,10,6,14,3,4,12,74.8,73.2,40.7,26.9,60.1,0.447,7.91,21.9,0.361,13.1,18.6,0.706,10.8,33.9,11.1,7.14,2.71,8.8,17.6
19,Ball State,31,15,16,0.484,-6.68,-5.93,7,11,9,7,6,8,73.5,71,40.5,24.8,55.7,0.446,7.48,20.7,0.362,16.5,21.5,0.767,9.48,34.9,12.4,5.48,3.1,12.1,15.1
20,Baylor NCAA,35,24,11,0.686,19.5,10.71,11,7,15,2,4,5,80.4,71.1,40.9,27.6,57.2,0.483,8.6,22.1,0.389,16.5,22.6,0.732,11.4,35.1,14.7,6.74,3.14,12,16.5
21,Bellarmine,31,8,23,0.258,-11.79,-2.47,4,12,6,7,2,16,69.5,74.8,40.3,25.7,59.3,0.434,7.68,22.5,0.341,10.4,13.3,0.779,7.9,32.3,13.5,5.29,1.94,9.58,15.7
22,Belmont,33,20,13,0.606,2.79,1.44,12,8,12,2,6,9,77.9,75.5,40.2,27.9,58.8,0.476,9.12,24.6,0.371,12.9,17.8,0.723,7.18,34.2,15.3,7.52,3.06,12.2,15.5
23,Bethune-Cookman,34,17,17,0.5,-11.87,-8.87,11,7,11,2,5,11,72.9,72.6,40.4,25.3,58.6,0.431,5.85,18.2,0.321,16.5,21.8,0.755,10.5,33.5,12.2,10.3,3.44,13.9,20.5
24,Binghamton,30,15,15,0.5,-9.29,-5.21,7,9,10,4,5,11,72.1,72.2,40.3,26.7,57.9,0.461,5.47,17.9,0.306,13.2,19.8,0.667,10.4,38.5,14.5,5,3.77,12.2,16.6
25,Boise State NCAA,33,22,11,0.667,13.31,7.35,13,5,13,3,7,3,75.1,67.3,40.3,26,58,0.449,7.82,23,0.34,15.3,20.8,0.736,11.6,37.3,12.2,5.73,2.36,11.1,16.7
26,Boston College,36,20,16,0.556,9.48,7.25,8,12,10,6,7,7,74.1,71.9,40.3,27.3,59.9,0.456,8.31,22.9,0.362,11.2,15,0.75,9.39,35.3,14.1,5.89,3.44,10.4,15.7
27,Boston University,33,16,17,0.485,-9.93,-8.49,10,8,9,7,7,10,66.5,66.6,40.5,23.3,56.2,0.414,7.7,23.1,0.333,12.2,17,0.717,9.36,35.4,12.9,6.55,3.09,11.6,17.3
